entityId|creationTm|_epk|nation|stage|winner|carFede|carBomber|weather|time|seasonID|rallyID|stageProgrInRally
185|2019-06-01T00:01:06.732|151-181-3|[14,Australia]|[143,Australia-3]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|181|3
187|2019-06-01T00:33:12.557|151-186-0|[2,Sweden]|[83,Sweden-0]|BOMBER|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|151|186|0
188|2019-06-01T00:33:12.558|151-186-1|[2,Sweden]|[84,Sweden-1]|BOMBER|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|151|186|1
189|2019-06-01T00:33:12.558|151-186-2|[2,Sweden]|[85,Sweden-2]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|151|186|2
190|2019-06-01T00:33:12.559|151-186-3|[2,Sweden]|[86,Sweden-3]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|151|186|3
191|2019-06-01T00:33:12.56|151-186-4|[2,Sweden]|[87,Sweden-4]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|151|186|4
193|2019-06-01T00:52:26.492|151-192-0|[6,Italy]|[103,Italy-0]|BOMBER|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|151|192|0
194|2019-06-01T00:52:26.493|151-192-1|[6,Italy]|[104,Italy-1]|BOMBER|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|151|192|1
195|2019-06-01T00:52:26.494|151-192-2|[6,Italy]|[105,Italy-2]|BOMBER|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|151|192|2
199|2019-06-02T22:00:43.374|151-198-0|[5,Portugal]|[98,Portugal-0]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|198|0
200|2019-06-02T22:00:43.374|151-198-1|[5,Portugal]|[99,Portugal-1]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|198|1
201|2019-06-02T22:00:43.375|151-198-2|[5,Portugal]|[100,Portugal-2]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|198|2
202|2019-06-02T22:00:43.375|151-198-3|[5,Portugal]|[101,Portugal-3]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|198|3
203|2019-06-02T22:00:43.376|151-198-4|[5,Portugal]|[102,Portugal-4]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|198|4
205|2019-06-02T22:38:41.537|151-204-0|[12,Spain]|[130,Spain-0]|FEDE|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|151|204|0
206|2019-06-02T22:38:41.538|151-204-1|[12,Spain]|[131,Spain-1]|FEDE|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|151|204|1
207|2019-06-02T22:38:41.539|151-204-2|[12,Spain]|[132,Spain-2]|BOMBER|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|151|204|2
208|2019-06-02T22:38:41.539|151-204-3|[12,Spain]|[133,Spain-3]|BOMBER|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|151|204|3
209|2019-06-02T22:38:41.54|151-204-4|[12,Spain]|[134,Spain-4]|FEDE|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|151|204|4
213|2019-06-07T22:19:01.288|211-212-0|[1,Monaco]|[78,Monaco-0]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|212|0
214|2019-06-07T22:19:01.288|211-212-1|[1,Monaco]|[79,Monaco-1]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|212|1
215|2019-06-07T22:19:01.289|211-212-2|[1,Monaco]|[80,Monaco-2]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|212|2
216|2019-06-07T22:19:01.289|211-212-3|[1,Monaco]|[81,Monaco-3]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|212|3
218|2019-06-07T22:42:20.638|211-217-0|[2,Sweden]|[83,Sweden-0]|BOMBER|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|211|217|0
219|2019-06-07T22:42:20.639|211-217-1|[2,Sweden]|[84,Sweden-1]|FEDE|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|211|217|1
220|2019-06-07T22:42:20.639|211-217-2|[2,Sweden]|[85,Sweden-2]|FEDE|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|211|217|2
221|2019-06-07T22:42:20.64|211-217-3|[2,Sweden]|[86,Sweden-3]|FEDE|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|211|217|3
223|2019-06-08T00:16:52.07|211-222-0|[3,Mexico]|[88,Mexico-0]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|222|0
